name,victims,years,url
 John Floyd Thomas  Westside Rapist  The Southland Strangler ,5,53,https://killer.cloud/serial-killers/show/255/john-floyd-thomas
 David Parker Ray  The Toy-Box Killer ,3,43,https://killer.cloud/serial-killers/show/663/david-parker-ray
 Richard Kuklinski  The Iceman  The Polack ,6,38,https://killer.cloud/serial-killers/show/659/richard-kuklinski
 Pedro Rodrigues Filho  Pedrinho Matador  Killer Petey ,71,37,https://killer.cloud/serial-killers/show/3/pedro-rodrigues-filho
 Samuel Little  Samuel McDowell ,60,36,https://killer.cloud/serial-killers/show/597/sam-little
 Peter Woodcock  David Michael Krueger ,4,36,https://killer.cloud/serial-killers/show/325/peter-woodcock
 Pedro Lopez  The Monster of the Andes ,110,34,https://killer.cloud/serial-killers/show/1/pedro-lopez
 Volker Eckert  Brummi Killer ,9,33,https://killer.cloud/serial-killers/show/141/volker-eckert
 Carroll Edward Cole  Carroll Cole ,16,33,https://killer.cloud/serial-killers/show/60/carroll-cole
 Louise Peete  Lofie Louise Preslar ,3,31,https://killer.cloud/serial-killers/show/385/louise-peete
 Willem van Eijk  The Beast of Harkstede  Gekke Willempje ,5,31,https://killer.cloud/serial-killers/show/299/willem-van-eijk
 Dennis Rader  BTK Killer  BTK Strangler  Bind Torture Kill ,10,31,https://killer.cloud/serial-killers/show/130/dennis-rader
 David Edward Maust  Crazy Dave ,5,30,https://killer.cloud/serial-killers/show/261/david-maust
 Donald Henry Gaskins  Pee Wee  The Meanest Man in America ,12,30,https://killer.cloud/serial-killers/show/91/donald-henry-gaskins
 Francisco Guerrero Pérez  El Chalequero  Antonio Prida  The Mexican Barbazul ,21,29,https://killer.cloud/serial-killers/show/614/francisco-guerrero-perez
 Matti Haapoja   ,3,28,https://killer.cloud/serial-killers/show/607/matti-haapoja
 Harold Shipman  Dr Death Angel of Death ,15,28,https://killer.cloud/serial-killers/show/507/harold-shipman
 Nannie Doss  Giggling Nanny  Giggling Granny  Jolly Black Widow ,11,28,https://killer.cloud/serial-killers/show/106/nannie-doss
 Ali Asghar Borujerdi  Asghar the Murderer  Ashare Qatel ,33,28,https://killer.cloud/serial-killers/show/17/ali-asghar-borujerdi
 Kenneth McDuff  The Broomstick Killer ,9,27,https://killer.cloud/serial-killers/show/147/kenneth-mcduff
 Robert Browne  Robert Charles Browne ,2,26,https://killer.cloud/serial-killers/show/458/robert-browne
 Altemio Sanchez  Bike Path Rapist  Bike Path Killer ,3,26,https://killer.cloud/serial-killers/show/402/altemio-sanchez
 Richard Biegenwald  The Thrill Killer ,9,26,https://killer.cloud/serial-killers/show/149/richard-biegenwald
 Terry Rasmussen  The Chameleon Killer  Bear Brook murders  Allenstown Barrel Murders ,5,25,https://killer.cloud/serial-killers/show/666/terry-pender-rasmussen
 Hamdi Kayapinar  Avcı  insan avcısı ,8,25,https://killer.cloud/serial-killers/show/636/hamdi-kayapinar
