name,victims,years,url
 Moses Sithole  The ABC Killer  The South African Strangler  The Gauteng Killer ,38,1,https://killer.cloud/serial-killers/show/12/moses-sithole
 Maoupa Cedric Maake  Wemmer Pan Killer  Hammer Killer ,27,1,https://killer.cloud/serial-killers/show/22/maoupa-cedric-maake
 Bulelani Mabhayi  Monster of Tholeni ,20,6,https://killer.cloud/serial-killers/show/626/bulelani-mabhayi
 Christopher Mhlengwa Zikode  Donnybrook Serial Killer ,18,1,https://killer.cloud/serial-killers/show/45/christopher-mhlengwa-zikode
 Jack Mogale  the West-End serial killer ,16,1,https://killer.cloud/serial-killers/show/57/jack-mogale
 Jimmy Maketta  Jesus Killer ,16,1,https://killer.cloud/serial-killers/show/56/jimmy-maketta
 Elias Xitavhudzi  Pangaman  Panga man ,16,10,https://killer.cloud/serial-killers/show/55/elias-xitavhudzi
 Sipho Agmatir Thwala  The Phoenix Strangler ,16,1,https://killer.cloud/serial-killers/show/53/sipho-agmatir-thwala
 Elifasi Msomi  Tokoloshe Killer  The Axe Killer ,15,7,https://killer.cloud/serial-killers/show/68/elifasi-msomi
 Asande Baninzi   ,14,1,https://killer.cloud/serial-killers/show/628/asande-baninzi
 Thozamile Taki  Sugarcane Killer ,13,1,https://killer.cloud/serial-killers/show/89/thozamile-taki
 Johannes Mashiane  The Beast of Atteridgeville ,13,8,https://killer.cloud/serial-killers/show/88/johannes-mashiane
 David Randitsheni  the Modimolle Child Rapist ,10,5,https://killer.cloud/serial-killers/show/128/david-randitsheni
 Stewart Wilken  Boetie Boer  Brother Farmer ,10,8,https://killer.cloud/serial-killers/show/127/stewart-wilken
 Sibusiso Duma   ,7,1,https://killer.cloud/serial-killers/show/217/sibusiso-duma
 Samuel Sidyno  Capital Hill Serial Killer ,7,1,https://killer.cloud/serial-killers/show/216/samuel-sidyno
 Khangayi Sedumedi  Century City Serial Killer ,4,5,https://killer.cloud/serial-killers/show/664/khangayi-sedumedi
 Daisy de Melker   ,3,10,https://killer.cloud/serial-killers/show/393/daisy-de-melker
 Nicholas Lungisa Ncama  East Cape Killer  Ponky ,3,1,https://killer.cloud/serial-killers/show/237/nicholas-lungisa-ncama
 Norman Afzal Simons  Station Strangler ,1,9,https://killer.cloud/serial-killers/show/143/norman-afzal-simons
